Singular,Plural
salad,salads
greens,
fruit,fruits
vegetable,vegetables
avocado,avocadoes
melon,melons
apple,apples
plant,plants
sweet,sweets
tree,trees
pear,pears
rocket,
rot,
shrub,shrubs
shrubbery,shrubberies
berry,berries
blackberry,blackberries
strawberry,strawberries
seed,seeds
banana,bananas
pepper,pepper
tomato,tomatoes
jam,
jelly,
agriculture,
greenhouse,greehouses
myrtle,myrtles
petal,petals
violet,violets
rose,roses
herb,herbs
algae,algae
garden,gardens
spice,spices
vitamin,vitamins
bean,beans
cabbage,cabbages
root,roots
eggplant,eggplants
pea,peas
radish,radish
corn,
sage,
leaf,leaves
country,countries
organism,organisms
tulip,tulips
citron,citrons
lemon,lemons
orange,oranges
thing,thinggs
weed,
weeds,
beech,beeches
pine,pines
flower,flowers
bud,buds
elm,elms
ash,ashes
palm,palms
wood,
timber,timbers
tobacco,
trunk,trunks
honeysuckle,honeysuckles
lilac,lilacs
foliage,
forest,forests
meadow,meadows
branch,branches
entity,entities
fig,figs
nectar,
grape,grapes
moss,
turf,
monstrosity,monstrosities
green,
sugar,
blight,
daffodil,daffodils
daisy,daisies
verbena,verbenas
perfume,perfumes
poppy,poppies
blossom,blossoms
wallflower,wallflowers
oleander,oleanders
scent,scents
landscape,landscapes
chrysanthemum,chrysanthemums
coffee,coffees
coconut,coconuts
place,places
vitamin,vitamins
growth,
peony,peonies
larkspur,larkspurs
seedpod,seedpods
hay,
maple,maples
rhubarb,
lawn,lawns
pasture,pastures
ancestry,ancestries
plowing,plowings
planting,plantings
tending,tendings
farm,farms
hyacinth,hyacinths
dogwood,dogwood
jonguil,jonguils
sheaf,sheaves
willow,willows
grass,grasses
area,areas
